Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,18/11/2020 00:00,6.4,ug/m3,P
KF1,PM2.5,19/11/2020 00:00,4.9,ug/m3,P
KF1,PM2.5,20/11/2020 00:00,6.6,ug/m3,P
KF1,PM2.5,21/11/2020 00:00,4.0,ug/m3,P
KF1,PM2.5,22/11/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,23/11/2020 00:00,11.1,ug/m3,P
KF1,PM2.5,24/11/2020 00:00,6.1,ug/m3,P
KF1,PM2.5,25/11/2020 00:00,10.8,ug/m3,P
KF1,PM2.5,26/11/2020 00:00,11.8,ug/m3,P
KF1,PM2.5,27/11/2020 00:00,21.8,ug/m3,P
KF1,PM2.5,28/11/2020 00:00,35.1,ug/m3,P
KF1,PM2.5,29/11/2020 00:00,25.7,ug/m3,P
KF1,PM2.5,30/11/2020 00:00,11.4,ug/m3,P
KF1,PM2.5,01/12/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,02/12/2020 00:00,12.9,ug/m3,P
KF1,PM2.5,03/12/2020 00:00,5.4,ug/m3,P
KF1,PM2.5,04/12/2020 00:00,6.4,ug/m3,P
KF1,PM2.5,05/12/2020 00:00,6.1,ug/m3,P
KF1,PM2.5,06/12/2020 00:00,11.6,ug/m3,P
KF1,PM2.5,07/12/2020 00:00,13.9,ug/m3,P
KF1,PM2.5,08/12/2020 00:00,15.9,ug/m3,P
KF1,PM2.5,09/12/2020 00:00,8.5,ug/m3,P
KF1,PM2.5,10/12/2020 00:00,9.4,ug/m3,P
KF1,PM2.5,11/12/2020 00:00,8.1,ug/m3,P
KF1,PM2.5,12/12/2020 00:00,8.7,ug/m3,P
KF1,PM2.5,13/12/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,14/12/2020 00:00,5.8,ug/m3,P
KF1,PM2.5,15/12/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,16/12/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,17/12/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,18/12/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,19/12/2020 00:00,6.0,ug/m3,P
KF1,PM2.5,20/12/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,21/12/2020 00:00,2.3,ug/m3,P
KF1,PM2.5,22/12/2020 00:00,6.5,ug/m3,P
KF1,PM2.5,23/12/2020 00:00,3.0,ug/m3,P
KF1,PM2.5,24/12/2020 00:00,3.0,ug/m3,P
KF1,PM2.5,25/12/2020 00:00,5.9,ug/m3,P
KF1,PM2.5,26/12/2020 00:00,3.6,ug/m3,P
